
2019-02-28 09:48:39:F:\Work\资产积累\工具积累\15.百度文库下载工具\Fish-v324\Fish-v324\Fish.exe-3.2.4-0525
09:48:39:LoadUrlFile can't open url file. cUrlFile:F:\Work\资产积累\工具积累\15.百度文库下载工具\Fish-v324\Fish-v324\kini\tkbatch.ini
09:48:43:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:48:44:ToAddBatchTasks nSize = 0
09:48:44:AddBatchTasks batch task is done. nSize is zero
09:48:46:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:48:49:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:48:52:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:48:55:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:48:58:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:49:01:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:49:04:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:49:07:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:49:10:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:49:13:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:49:16:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:49:19:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:49:22:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:49:25:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:49:28:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:49:31:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:49:34:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:49:37:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:49:40:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:49:43:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:49:46:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:49:49:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:49:52:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:49:55:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:49:58:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:50:01:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:50:04:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:50:07:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:50:10:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:50:13:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:50:16:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:50:19:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:50:22:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:50:25:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:50:28:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:50:31:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:50:34:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:50:37:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:50:40:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:50:43:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:50:46:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:50:49:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:50:52:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:50:55:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:50:58:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:51:01:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:51:04:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:51:07:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:51:10:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:51:13:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:51:16:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:51:19:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:51:22:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:51:25:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:51:28:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:51:31:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:51:34:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:51:37:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:51:40:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:51:43:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:51:46:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:51:49:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:51:52:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:51:55:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:51:58:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:52:01:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:52:04:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:52:07:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:52:10:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:52:13:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:52:16:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:52:19:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:52:22:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:52:25:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:52:28:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:52:31:AddExportPDFTask. size = 0, m_nExportTask = 0.
09:52:34:AddExportPDFTask. size = 0, m_nExportTask = 0.
